hrk,vendor,date,description,meansofpayment,city,category,currency,country,eur
60.96,waw-airport,2018-09-19,food,cash,warsaw,groceries,PLN,poland,2.92
420.00,dorm,2018-09-20,accomodation,cash,poznan,accomodation,PLN,poland,54.60
660.00,dorm,2018-09-20,accomodation,cash,poznan,accomodation,PLN,poland,85.80
13.99,bistro,2018-09-21,food,cash,poznan,groceries,PLN,poland,1.82
14.89,biedronka,2018-09-21,food,cash,poznan,groceries,PLN,poland,1.94
138.42,carrefour,2018-09-21,food,cash,poznan,groceries,PLN,poland,17.99
17.30,nowe-zoo,2018-09-21,activity,cash,poznan,activities,PLN,poland,2.30
10.38,malta-train,2018-09-21,train,cash,poznan,transport,PLN,poland,1.38
177.87,carrefour,2018-09-22,supplies,cash,poznan,groceries,PLN,poland,23.12
17.21,starbucks,2018-09-22,food,cash,poznan,groceries,PLN,poland,2.29
15.93,carrefour,2018-09-22,food,cash,poznan,groceries,PLN,poland,2.07
34.80,bar,2018-09-22,alcohol,cash,poznan,activities,PLN,poland,4.51
35.04,biedronka,2018-09-24,food,cash,poznan,groceries,PLN,poland,4.56
26.00,daniel-prlat,2018-09-24,food,credit-card,poznan,fastfood,PLN,poland,3.38
69.52,czupito,2018-09-24,alcohol,cash,poznan,activities,PLN,poland,9.30
38.28,breakfast,2018-09-25,food,cash,poznan,groceries,PLN,poland,4.98
34.08,museum,2018-09-25,museum,cash,poznan,sightseeing,PLN,poland,4.43
66.80,rossman,2018-09-25,supplies,credit-card,poznan,groceries,PLN,poland,8.68
293.52,kiwi,2018-09-25,airplane,credit-card,poznan,travel,PLN,poland,38.16
11.32,breakfast,2018-09-26,food,cash,poznan,groceries,PLN,poland,6.50
13.06,public-canteen,2018-09-26,food,cash,poznan,groceries,PLN,poland,7.50
41.59,biedronka,2018-09-26,food,credit-card,poznan,groceries,PLN,poland,5.41
72.01,cinema,2018-09-26,activity,cash,poznan,activities,PLN,poland,9.36
28.05,carrefour,2018-09-27,food,credit-card,poznan,groceries,PLN,poland,3.65
101.35,carrefour,2018-09-27,food,credit-card,poznan,groceries,PLN,poland,13.18
260.00,integration-week,2018-09-28,activity,cash,poznan,activities,PLN,poland,33.80
70.00,esncard,2018-09-28,esncard,credit-card,poznan,travel,PLN,poland,9.10
2.10,blinkee,2018-09-29,blinkee,credit-card,poznan,transport,PLN,poland,0.27
17.51,pikapika,2018-09-29,food,credit-card,poznan,fastfood,PLN,poland,2.28
